[2022-04-20 11:03:24,993] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-04-20 11:03:25,064] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-04-20 11:16:02,580] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-04-20 11:16:02,648] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-04-20 11:16:03,722] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2022-04-20 11:16:03,722] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2022-04-20 11:16:03,723] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2022-04-20 11:16:03,723] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2022-04-20 11:18:47,727] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-04-20 11:18:47,797] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-04-21 09:22:18,563] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-04-21 09:22:18,634] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-04-21 09:22:20,345] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2022-04-21 09:22:20,346] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2022-04-21 09:22:20,347] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2022-04-21 09:22:20,347] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2022-04-21 09:31:27,853] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-04-21 09:31:27,917] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-04-21 23:25:54,012] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-04-21 23:25:54,070] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2022-04-21 23:26:00,088] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2022-04-21 23:26:00,088] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2022-04-21 23:26:00,089] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2022-04-21 23:26:00,089] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2022-04-21 23:28:39,278] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2022-04-21 23:28:39,354] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
